status,manifest_id,job_slug,run_dir,dataset,representation,encoder,depth,seed,learning_rate,batch_size,steps,standardize,initial_state,projector_renormalize,track_readout_leakage,final_validation_loss,final_validation_accuracy,final_test_loss,final_test_accuracy,best_validation_accuracy,validation_accuracy_auc,time_to_target_step,wall_time_seconds,mean_readout_leakage_mass,parameter_count,n_qubits,hilbert_dim,git_commit,git_dirty
complete,pendigits,pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed0,results/runs/pendigits_ablation_eigenvector-only/pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed0_seed0,pendigits,dyn,symmetric-hamiltonian,16,0,0.01,32,2000,True,plus,True,False,0.43500213250291775,0.944,0.48394800866229454,0.9150943396226415,0.9466666666666667,1720.6,,95.28564834594727,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed10,results/runs/pendigits_ablation_eigenvector-only/pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed10_seed10,pendigits,dyn,symmetric-hamiltonian,16,10,0.01,32,2000,True,plus,True,False,0.3861857381397324,0.9373333333333334,0.4195575992190966,0.9248141795311606,0.9506666666666667,1729.3333333333333,,94.14974045753479,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed11,results/runs/pendigits_ablation_eigenvector-only/pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed11_seed11,pendigits,dyn,symmetric-hamiltonian,16,11,0.01,32,2000,True,plus,True,False,0.35965824657368467,0.9533333333333334,0.40698119096418506,0.9291023441966838,0.9533333333333334,1741.9333333333332,,94.63316822052002,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed12,results/runs/pendigits_ablation_eigenvector-only/pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed12_seed12,pendigits,dyn,symmetric-hamiltonian,16,12,0.01,32,2000,True,plus,True,False,0.3792102841975597,0.9586666666666667,0.45023436873454864,0.9116638078902229,0.9586666666666667,1743.5333333333333,,94.3361132144928,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed13,results/runs/pendigits_ablation_eigenvector-only/pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed13_seed13,pendigits,dyn,symmetric-hamiltonian,16,13,0.01,32,2000,True,plus,True,False,0.767566089979526,0.8813333333333333,0.8698984225250769,0.8359062321326473,0.94,1712.1333333333332,,95.10633611679077,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed14,results/runs/pendigits_ablation_eigenvector-only/pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed14_seed14,pendigits,dyn,symmetric-hamiltonian,16,14,0.01,32,2000,True,plus,True,False,0.3636292819916254,0.96,0.42134174481933817,0.9256718124642653,0.96,1739.8,,94.43324637413025,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed15,results/runs/pendigits_ablation_eigenvector-only/pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed15_seed15,pendigits,dyn,symmetric-hamiltonian,16,15,0.01,32,2000,True,plus,True,False,0.37230526038108464,0.9506666666666667,0.44723613793870015,0.9122355631789594,0.9546666666666667,1741.8666666666666,,94.10996747016907,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed16,results/runs/pendigits_ablation_eigenvector-only/pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed16_seed16,pendigits,dyn,symmetric-hamiltonian,16,16,0.01,32,2000,True,plus,True,False,0.4407558986975007,0.9306666666666666,0.5177681413863556,0.8979416809605489,0.9533333333333334,1747.333333333333,,93.30203533172607,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed17,results/runs/pendigits_ablation_eigenvector-only/pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed17_seed17,pendigits,dyn,symmetric-hamiltonian,16,17,0.01,32,2000,True,plus,True,False,0.3819508653564127,0.948,0.4725841466972467,0.9110920526014865,0.948,1662.1333333333332,,94.02605557441711,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed18,results/runs/pendigits_ablation_eigenvector-only/pendigits__dyn__symmetric-hamiltonian__L16__lr0.01__bs32__seed18_seed18,pendigits,dyn,symmetric-hamiltonian,16,18,0.01,32,2000,True,plus,True,False,1.10644256212682,0.7946666666666666,1.2206886265636452,0.7252715837621498,0.9466666666666667,1677.7333333333333,,94.46646618843079,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
