status,manifest_id,job_slug,run_dir,dataset,representation,encoder,depth,seed,learning_rate,batch_size,steps,standardize,initial_state,projector_renormalize,track_readout_leakage,final_validation_loss,final_validation_accuracy,final_test_loss,final_test_accuracy,best_validation_accuracy,validation_accuracy_auc,time_to_target_step,wall_time_seconds,mean_readout_leakage_mass,parameter_count,n_qubits,hilbert_dim,git_commit,git_dirty
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed0,results/runs/pendigits_ablation_row-column-permutation/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed0_seed0,pendigits,dyn,block-hamiltonian,16,0,0.01,32,2000,True,plus,True,False,0.3204612962649123,0.964,0.3984087560363762,0.9265294453973699,0.9653333333333334,1780.0666666666666,,88.07327461242676,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed10,results/runs/pendigits_ablation_row-column-permutation/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed10_seed10,pendigits,dyn,block-hamiltonian,16,10,0.01,32,2000,True,plus,True,False,0.33958469417446296,0.9573333333333334,0.3936127602478122,0.9382504288164666,0.9573333333333334,1770.666666666667,,89.52763605117798,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed11,results/runs/pendigits_ablation_row-column-permutation/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed11_seed11,pendigits,dyn,block-hamiltonian,16,11,0.01,32,2000,True,plus,True,False,0.39761270513457286,0.9533333333333334,0.4726450109441879,0.9199542595769011,0.9653333333333334,1769.6,,88.47236824035645,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed12,results/runs/pendigits_ablation_row-column-permutation/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed12_seed12,pendigits,dyn,block-hamiltonian,16,12,0.01,32,2000,True,plus,True,False,0.30258061082359167,0.964,0.3945852439988904,0.940251572327044,0.9746666666666667,1799.4,,88.67833685874939,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed13,results/runs/pendigits_ablation_row-column-permutation/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed13_seed13,pendigits,dyn,block-hamiltonian,16,13,0.01,32,2000,True,plus,True,False,0.3576370448192826,0.9626666666666667,0.4490975733431613,0.907661520869068,0.9693333333333334,1759.8000000000002,,88.83692216873169,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed14,results/runs/pendigits_ablation_row-column-permutation/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed14_seed14,pendigits,dyn,block-hamiltonian,16,14,0.01,32,2000,True,plus,True,False,0.39676021573167003,0.9453333333333334,0.46025549104822666,0.9202401372212693,0.9653333333333334,1752.3999999999999,,87.61208152770996,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed15,results/runs/pendigits_ablation_row-column-permutation/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed15_seed15,pendigits,dyn,block-hamiltonian,16,15,0.01,32,2000,True,plus,True,False,0.33584978167468693,0.9533333333333334,0.38869690850101224,0.9336763865065751,0.9626666666666667,1781.2666666666667,,87.44097352027893,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed16,results/runs/pendigits_ablation_row-column-permutation/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed16_seed16,pendigits,dyn,block-hamiltonian,16,16,0.01,32,2000,True,plus,True,False,0.33523701145020973,0.964,0.4185796022062033,0.9096626643796455,0.964,1742.9999999999998,,88.62565851211548,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed17,results/runs/pendigits_ablation_row-column-permutation/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed17_seed17,pendigits,dyn,block-hamiltonian,16,17,0.01,32,2000,True,plus,True,False,0.35956826339266834,0.9586666666666667,0.43416432288410894,0.9233847913093196,0.9586666666666667,1708.6666666666667,,86.455087184906,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed18,results/runs/pendigits_ablation_row-column-permutation/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed18_seed18,pendigits,dyn,block-hamiltonian,16,18,0.01,32,2000,True,plus,True,False,0.4200572725125005,0.9613333333333334,0.48388363566085824,0.9228130360205832,0.9706666666666667,1788.8666666666668,,88.37228417396545,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
