status,manifest_id,job_slug,run_dir,dataset,representation,encoder,depth,seed,learning_rate,batch_size,steps,standardize,initial_state,projector_renormalize,track_readout_leakage,final_validation_loss,final_validation_accuracy,final_test_loss,final_test_accuracy,best_validation_accuracy,validation_accuracy_auc,time_to_target_step,wall_time_seconds,mean_readout_leakage_mass,parameter_count,n_qubits,hilbert_dim,git_commit,git_dirty
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed0,results/runs/pendigits_ablation_singular-spectrum-only/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed0_seed0,pendigits,dyn,block-hamiltonian,16,0,0.01,32,2000,True,plus,True,False,1.7746732411307136,0.3,1.8576920270327009,0.2827329902801601,0.332,516.1333333333332,,96.14445686340332,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed10,results/runs/pendigits_ablation_singular-spectrum-only/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed10_seed10,pendigits,dyn,block-hamiltonian,16,10,0.01,32,2000,True,plus,True,False,1.8099499392386618,0.36666666666666664,1.9004140982130426,0.33562035448827904,0.36666666666666664,505.0,,93.00576639175415,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed11,results/runs/pendigits_ablation_singular-spectrum-only/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed11_seed11,pendigits,dyn,block-hamiltonian,16,11,0.01,32,2000,True,plus,True,False,1.9099844862888364,0.292,1.9815812047587524,0.2670097198399085,0.3426666666666667,527.3333333333334,,92.47608470916748,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed12,results/runs/pendigits_ablation_singular-spectrum-only/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed12_seed12,pendigits,dyn,block-hamiltonian,16,12,0.01,32,2000,True,plus,True,False,1.7419775777233137,0.332,1.8383467355857883,0.32275586049170957,0.348,509.1333333333335,,97.61235165596008,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed13,results/runs/pendigits_ablation_singular-spectrum-only/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed13_seed13,pendigits,dyn,block-hamiltonian,16,13,0.01,32,2000,True,plus,True,False,1.8730347479625082,0.336,1.9376378388198199,0.3210405946255003,0.38666666666666666,545.6666666666666,,91.4698371887207,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed14,results/runs/pendigits_ablation_singular-spectrum-only/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed14_seed14,pendigits,dyn,block-hamiltonian,16,14,0.01,32,2000,True,plus,True,False,1.71565782881158,0.34,1.8613895853236002,0.2918810748999428,0.37733333333333335,560.2666666666667,,92.39821076393127,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed15,results/runs/pendigits_ablation_singular-spectrum-only/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed15_seed15,pendigits,dyn,block-hamiltonian,16,15,0.01,32,2000,True,plus,True,False,1.867305583379188,0.36,1.931297203749443,0.31761006289308175,0.36,528.9333333333333,,94.35447812080383,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed16,results/runs/pendigits_ablation_singular-spectrum-only/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed16_seed16,pendigits,dyn,block-hamiltonian,16,16,0.01,32,2000,True,plus,True,False,1.8685148405548337,0.2906666666666667,1.9207020281000904,0.25614636935391655,0.384,522.3333333333335,,94.07209968566895,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed17,results/runs/pendigits_ablation_singular-spectrum-only/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed17_seed17,pendigits,dyn,block-hamiltonian,16,17,0.01,32,2000,True,plus,True,False,2.033422767846856,0.28933333333333333,2.1295964780464045,0.2864493996569468,0.364,537.7333333333333,,96.13006901741028,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,pendigits,pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed18,results/runs/pendigits_ablation_singular-spectrum-only/pendigits__dyn__block-hamiltonian__L16__lr0.01__bs32__seed18_seed18,pendigits,dyn,block-hamiltonian,16,18,0.01,32,2000,True,plus,True,False,1.874322386634238,0.312,1.9688581247291306,0.30646083476272157,0.3453333333333333,523.6666666666667,,93.11216568946838,,736,4,16,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
