status,manifest_id,job_slug,run_dir,dataset,representation,encoder,depth,seed,learning_rate,batch_size,steps,standardize,initial_state,projector_renormalize,track_readout_leakage,final_validation_loss,final_validation_accuracy,final_test_loss,final_test_accuracy,best_validation_accuracy,validation_accuracy_auc,time_to_target_step,wall_time_seconds,mean_readout_leakage_mass,parameter_count,n_qubits,hilbert_dim,git_commit,git_dirty
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed0,results/runs/synthetic_ablation_entry-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed0_seed0,synthetic-eigengap,synthetic,block-hamiltonian,16,0,0.01,64,2000,True,plus,True,False,0.4890716380003392,0.7835365853658537,0.4958094189153829,0.7594627594627594,0.8201219512195121,1431.707317073171,,67.88863110542297,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed10,results/runs/synthetic_ablation_entry-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed10_seed10,synthetic-eigengap,synthetic,block-hamiltonian,16,10,0.01,64,2000,True,plus,True,False,0.4600894123593223,0.8170731707317073,0.49716384994288976,0.7606837606837606,0.8170731707317073,1399.8475609756097,,67.99816393852234,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed11,results/runs/synthetic_ablation_entry-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed11_seed11,synthetic-eigengap,synthetic,block-hamiltonian,16,11,0.01,64,2000,True,plus,True,False,0.486360813863997,0.7530487804878049,0.5018285830310057,0.757020757020757,0.7530487804878049,1364.4817073170732,,65.83924055099487,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed12,results/runs/synthetic_ablation_entry-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed12_seed12,synthetic-eigengap,synthetic,block-hamiltonian,16,12,0.01,64,2000,True,plus,True,False,0.5183102027879847,0.7439024390243902,0.518963381066285,0.7277167277167277,0.7835365853658537,1377.8963414634145,,66.45804810523987,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed13,results/runs/synthetic_ablation_entry-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed13_seed13,synthetic-eigengap,synthetic,block-hamiltonian,16,13,0.01,64,2000,True,plus,True,False,0.5147422291164777,0.7621951219512195,0.5034037658003548,0.7509157509157509,0.7652439024390244,1366.7682926829266,,67.14362406730652,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed14,results/runs/synthetic_ablation_entry-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed14_seed14,synthetic-eigengap,synthetic,block-hamiltonian,16,14,0.01,64,2000,True,plus,True,False,0.4874485626387615,0.7530487804878049,0.5187115855878647,0.7326007326007326,0.7682926829268293,1383.231707317073,,65.4407889842987,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed15,results/runs/synthetic_ablation_entry-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed15_seed15,synthetic-eigengap,synthetic,block-hamiltonian,16,15,0.01,64,2000,True,plus,True,False,0.4645962423751125,0.8048780487804879,0.5117764563965737,0.73992673992674,0.8048780487804879,1405.6402439024394,,65.53339719772339,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed16,results/runs/synthetic_ablation_entry-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed16_seed16,synthetic-eigengap,synthetic,block-hamiltonian,16,16,0.01,64,2000,True,plus,True,False,0.4696897366496022,0.7865853658536586,0.5176063820105951,0.7252747252747253,0.7865853658536586,1406.5548780487807,,66.95212531089783,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed17,results/runs/synthetic_ablation_entry-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed17_seed17,synthetic-eigengap,synthetic,block-hamiltonian,16,17,0.01,64,2000,True,plus,True,False,0.4743092171764361,0.8109756097560976,0.5228377306430476,0.7374847374847375,0.8109756097560976,1378.9634146341466,,65.41044282913208,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed18,results/runs/synthetic_ablation_entry-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed18_seed18,synthetic-eigengap,synthetic,block-hamiltonian,16,18,0.01,64,2000,True,plus,True,False,0.49322447526959806,0.7774390243902439,0.5238097855139441,0.7423687423687424,0.7896341463414634,1402.439024390244,,66.46004462242126,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
