status,manifest_id,job_slug,run_dir,dataset,representation,encoder,depth,seed,learning_rate,batch_size,steps,standardize,initial_state,projector_renormalize,track_readout_leakage,final_validation_loss,final_validation_accuracy,final_test_loss,final_test_accuracy,best_validation_accuracy,validation_accuracy_auc,time_to_target_step,wall_time_seconds,mean_readout_leakage_mass,parameter_count,n_qubits,hilbert_dim,git_commit,git_dirty
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed0,results/runs/synthetic_ablation_row-column-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed0_seed0,synthetic-eigengap,synthetic,block-hamiltonian,16,0,0.01,64,2000,True,plus,True,False,0.38323465504039483,0.8628048780487805,0.39988498430108105,0.8412698412698413,0.8810975609756098,1555.6402439024391,,69.56585240364075,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed10,results/runs/synthetic_ablation_row-column-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed10_seed10,synthetic-eigengap,synthetic,block-hamiltonian,16,10,0.01,64,2000,True,plus,True,False,0.3883273777630472,0.8567073170731707,0.41764877081404844,0.8144078144078144,0.8567073170731707,1534.6036585365857,,67.64216995239258,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed11,results/runs/synthetic_ablation_row-column-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed11_seed11,synthetic-eigengap,synthetic,block-hamiltonian,16,11,0.01,64,2000,True,plus,True,False,0.3782154469336584,0.8719512195121951,0.4292272251586726,0.8229548229548229,0.8719512195121951,1574.8475609756097,,66.41893744468689,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed12,results/runs/synthetic_ablation_row-column-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed12_seed12,synthetic-eigengap,synthetic,block-hamiltonian,16,12,0.01,64,2000,True,plus,True,False,0.3886209014261539,0.8475609756097561,0.41399924486039785,0.8315018315018315,0.8567073170731707,1556.2499999999998,,66.50485348701477,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed13,results/runs/synthetic_ablation_row-column-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed13_seed13,synthetic-eigengap,synthetic,block-hamiltonian,16,13,0.01,64,2000,True,plus,True,False,0.4012435715700605,0.8384146341463414,0.4063544360898751,0.8315018315018315,0.8536585365853658,1554.5731707317073,,68.51710391044617,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed14,results/runs/synthetic_ablation_row-column-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed14_seed14,synthetic-eigengap,synthetic,block-hamiltonian,16,14,0.01,64,2000,True,plus,True,False,0.39383940890166724,0.8262195121951219,0.41610657808098694,0.8107448107448108,0.8719512195121951,1585.5182926829268,,68.61332130432129,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed15,results/runs/synthetic_ablation_row-column-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed15_seed15,synthetic-eigengap,synthetic,block-hamiltonian,16,15,0.01,64,2000,True,plus,True,False,0.38531693644106546,0.850609756097561,0.3950302224784507,0.8424908424908425,0.8597560975609756,1570.1219512195123,,65.03782653808594,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed16,results/runs/synthetic_ablation_row-column-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed16_seed16,synthetic-eigengap,synthetic,block-hamiltonian,16,16,0.01,64,2000,True,plus,True,False,0.40808823432587427,0.8323170731707317,0.4082785323254932,0.8449328449328449,0.8658536585365854,1564.7865853658539,,66.12144541740417,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed17,results/runs/synthetic_ablation_row-column-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed17_seed17,synthetic-eigengap,synthetic,block-hamiltonian,16,17,0.01,64,2000,True,plus,True,False,0.41079943293381127,0.8445121951219512,0.41826829738642185,0.8351648351648352,0.8445121951219512,1510.2134146341461,,67.5201108455658,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed18,results/runs/synthetic_ablation_row-column-permutation/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed18_seed18,synthetic-eigengap,synthetic,block-hamiltonian,16,18,0.01,64,2000,True,plus,True,False,0.409707541091152,0.8384146341463414,0.41283706288103256,0.8485958485958486,0.8658536585365854,1567.6829268292684,,68.2362163066864,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
