status,manifest_id,job_slug,run_dir,dataset,representation,encoder,depth,seed,learning_rate,batch_size,steps,standardize,initial_state,projector_renormalize,track_readout_leakage,final_validation_loss,final_validation_accuracy,final_test_loss,final_test_accuracy,best_validation_accuracy,validation_accuracy_auc,time_to_target_step,wall_time_seconds,mean_readout_leakage_mass,parameter_count,n_qubits,hilbert_dim,git_commit,git_dirty
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed0,results/runs/synthetic_ablation_singular-vector-only/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed0_seed0,synthetic-eigengap,synthetic,block-hamiltonian,16,0,0.01,64,2000,True,plus,True,False,0.6135455844302474,0.6859756097560976,0.5992839329764115,0.6837606837606838,0.7012195121951219,1236.280487804878,,64.97357201576233,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed10,results/runs/synthetic_ablation_singular-vector-only/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed10_seed10,synthetic-eigengap,synthetic,block-hamiltonian,16,10,0.01,64,2000,True,plus,True,False,0.6082426974573583,0.6646341463414634,0.6233010790519079,0.6752136752136753,0.6859756097560976,1253.0487804878048,,66.29449224472046,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed11,results/runs/synthetic_ablation_singular-vector-only/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed11_seed11,synthetic-eigengap,synthetic,block-hamiltonian,16,11,0.01,64,2000,True,plus,True,False,0.6436642733988208,0.6646341463414634,0.6371268017628778,0.6691086691086691,0.6829268292682927,1215.8536585365855,,66.81852650642395,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed12,results/runs/synthetic_ablation_singular-vector-only/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed12_seed12,synthetic-eigengap,synthetic,block-hamiltonian,16,12,0.01,64,2000,True,plus,True,False,0.6065616388883668,0.6920731707317073,0.6068261450767718,0.6947496947496947,0.7012195121951219,1229.7256097560976,,64.88592314720154,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed13,results/runs/synthetic_ablation_singular-vector-only/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed13_seed13,synthetic-eigengap,synthetic,block-hamiltonian,16,13,0.01,64,2000,True,plus,True,False,0.6425205384460981,0.6463414634146342,0.6234221779178297,0.6593406593406593,0.7012195121951219,1188.871951219512,,66.37112808227539,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed14,results/runs/synthetic_ablation_singular-vector-only/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed14_seed14,synthetic-eigengap,synthetic,block-hamiltonian,16,14,0.01,64,2000,True,plus,True,False,0.6177219996121416,0.676829268292683,0.6168707079789219,0.6837606837606838,0.6829268292682927,1232.0121951219512,,66.04240870475769,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed15,results/runs/synthetic_ablation_singular-vector-only/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed15_seed15,synthetic-eigengap,synthetic,block-hamiltonian,16,15,0.01,64,2000,True,plus,True,False,0.6273776150317842,0.6676829268292683,0.6067779751084477,0.6715506715506715,0.6798780487804879,1195.4268292682923,,66.47798871994019,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed16,results/runs/synthetic_ablation_singular-vector-only/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed16_seed16,synthetic-eigengap,synthetic,block-hamiltonian,16,16,0.01,64,2000,True,plus,True,False,0.6056430450274045,0.6737804878048781,0.6234505079617092,0.6703296703296703,0.6920731707317073,1167.0731707317073,,66.40608358383179,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed17,results/runs/synthetic_ablation_singular-vector-only/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed17_seed17,synthetic-eigengap,synthetic,block-hamiltonian,16,17,0.01,64,2000,True,plus,True,False,0.6408294505999014,0.6524390243902439,0.6058065248286559,0.6642246642246642,0.6707317073170732,1167.6829268292686,,65.10449481010437,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
complete,synthetic,synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed18,results/runs/synthetic_ablation_singular-vector-only/synthetic-eigengap__synthetic__block-hamiltonian__L16__lr0.01__bs64__seed18_seed18,synthetic-eigengap,synthetic,block-hamiltonian,16,18,0.01,64,2000,True,plus,True,False,0.5739238869274421,0.698170731707317,0.5950901528812833,0.7167277167277167,0.7134146341463414,1233.3841463414633,,65.58296990394592,,496,3,8,6e3df8c2ae7503394992a62eaa877ace7721f2bc,False
