source_json_path,record_index,record_key,schema_version,manifest_id,mode,split,status,git_dirty,dataset,representation,encoder,depth,seed,diagnostic_mode,checkpoint,checkpoint_step,job_slug,source_hdf5_path,hdf5_status,hdf5_schema_version,hdf5_record_count,diagnostic_batch_size,diagnostic_seed,spectral_state_max_samples,filters_json,n_diagnostic_examples,final_projector_accuracy_on_diagnostic_batch,readout_score_scale,n_classes,input_shape_json,ablation_json,data_seed,n_train,run_dir,checkpoint_path,stage_names_json,final_kernel_target_alignment,final_kernel_effective_rank,final_kernel_centered_effective_rank,final_kernel_within_count,final_kernel_within_mean,final_kernel_within_median,final_kernel_within_std,final_kernel_within_min,final_kernel_within_max,final_kernel_within_q25,final_kernel_within_q75,final_kernel_between_count,final_kernel_between_mean,final_kernel_between_median,final_kernel_between_std,final_kernel_between_min,final_kernel_between_max,final_kernel_between_q25,final_kernel_between_q75,final_kernel_mean_gap_within_minus_between,logit_final_accuracy,logit_total_path_length_count,logit_total_path_length_mean,logit_total_path_length_median,logit_total_path_length_std,logit_total_path_length_min,logit_total_path_length_max,logit_total_path_length_q25,logit_total_path_length_q75,logit_correct_total_path_length_count,logit_correct_total_path_length_mean,logit_correct_total_path_length_median,logit_correct_total_path_length_std,logit_correct_total_path_length_min,logit_correct_total_path_length_max,logit_correct_total_path_length_q25,logit_correct_total_path_length_q75,logit_incorrect_total_path_length_count,logit_incorrect_total_path_length_mean,logit_incorrect_total_path_length_median,logit_incorrect_total_path_length_std,logit_incorrect_total_path_length_min,logit_incorrect_total_path_length_max,logit_incorrect_total_path_length_q25,logit_incorrect_total_path_length_q75,logit_transition_names_json,logit_mean_step_movement_json,spectral_state_status,spectral_state_n_samples,error_type,error
results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.json,0,pendigits|checkpoints|pendigits|dyn|block-hamiltonian|1|0|checkpoints|step_00000000|0|pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,latent_state_diagnostics_v1,pendigits,checkpoints,validation,complete,False,pendigits,dyn,block-hamiltonian,1,0,checkpoints,step_00000000,0,pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.h5,ok,latent_state_diagnostics_hdf5_v1,8,32,0,8,"{""datasets"": null, ""encoders"": null, ""representations"": null, ""reupload_depths"": null, ""seeds"": null}",32,0.125,projector probabilities,10,"[8, 2]",none,0,6744,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0/checkpoints.h5::step_00000000,"[""initial"", ""layer_0_post_upload"", ""layer_0_post_mixer""]",0.569387144397542,2.474659057494472,6.572629975226138,36,0.8134907881257485,0.8575896279200262,0.14526852572722823,0.34731967893633253,0.9885499767197294,0.7349452308919106,0.9169023683136657,460,0.5812275820407936,0.5932207173858159,0.15403366000131866,0.10795727448868084,0.954904593135515,0.4835885850179309,0.6888862510894335,0.23226320608495488,0.125,32,0.20592160286739625,0.1875340493547582,0.052797263314830596,0.13036545190104484,0.30504994972431604,0.17009900956292281,0.25618444412869656,4,0.21121367124626056,0.20362759405451758,0.036420356959237135,0.17370179383816703,0.26389770303784,0.17930931786687515,0.23553194743390296,28,0.20516559309898702,0.1875340493547582,0.054696511855523704,0.13036545190104484,0.30504994972431604,0.16558820785915562,0.25618444412869656,"[""initial->layer_0_post_upload"", ""layer_0_post_upload->layer_0_post_mixer""]","[0.18019960217496545, 0.025722000692430788]",complete,8,,
results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.json,1,pendigits|checkpoints|pendigits|dyn|block-hamiltonian|1|0|checkpoints|step_00000050|50|pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,latent_state_diagnostics_v1,pendigits,checkpoints,validation,complete,False,pendigits,dyn,block-hamiltonian,1,0,checkpoints,step_00000050,50,pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.h5,ok,latent_state_diagnostics_hdf5_v1,8,32,0,8,"{""datasets"": null, ""encoders"": null, ""representations"": null, ""reupload_depths"": null, ""seeds"": null}",32,0.3125,projector probabilities,10,"[8, 2]",none,0,6744,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0/checkpoints.h5::step_00000050,"[""initial"", ""layer_0_post_upload"", ""layer_0_post_mixer""]",0.5660835624240222,2.3521887298188915,6.263152669433818,36,0.8285575927061859,0.8725510627108437,0.13516559327235253,0.39994968178340434,0.9898952891856718,0.7590208233776529,0.9237544686212984,460,0.6008017219817324,0.605349551337751,0.14930837020787038,0.12307573796768845,0.9427803074853193,0.5026779274638657,0.7041557737992061,0.22775587072445347,0.3125,32,0.3812499415032679,0.36999457360093013,0.07581060458957485,0.26498137441650865,0.5958537547507661,0.3212805680530547,0.41769141150252653,10,0.3898487077639712,0.39933552570107933,0.07925960136400655,0.26498137441650865,0.5493376451034264,0.3275182188091953,0.43398205689706715,22,0.3773414113847664,0.36774080712617807,0.07385969848256718,0.28986458630202144,0.5958537547507661,0.32201410455976787,0.4041501161647825,"[""initial->layer_0_post_upload"", ""layer_0_post_upload->layer_0_post_mixer""]","[0.17072798166144793, 0.21052195984181998]",complete,8,,
results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.json,2,pendigits|checkpoints|pendigits|dyn|block-hamiltonian|1|0|checkpoints|step_00000100|100|pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,latent_state_diagnostics_v1,pendigits,checkpoints,validation,complete,False,pendigits,dyn,block-hamiltonian,1,0,checkpoints,step_00000100,100,pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.h5,ok,latent_state_diagnostics_hdf5_v1,8,32,0,8,"{""datasets"": null, ""encoders"": null, ""representations"": null, ""reupload_depths"": null, ""seeds"": null}",32,0.5,projector probabilities,10,"[8, 2]",none,0,6744,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0/checkpoints.h5::step_00000100,"[""initial"", ""layer_0_post_upload"", ""layer_0_post_mixer""]",0.5650959542967621,2.3201572103920434,6.191158448199914,36,0.8322568830798581,0.8744697389566498,0.13264117661996794,0.4129327264959088,0.9902052138153724,0.7640537993600098,0.925382109707578,460,0.6061837114152052,0.6103949604874538,0.14799292003709724,0.12843398843937265,0.939818822648354,0.5090985722713,0.7085286973129463,0.2260731716646529,0.5,32,0.41814758035677835,0.42054542036081183,0.06625347459230509,0.29171156229513,0.5589354144033694,0.35971327191492364,0.4544063923035777,16,0.42830738733601664,0.4440535183058491,0.07542840184058032,0.29171156229513,0.5589354144033694,0.35971327191492364,0.4714414157613596,16,0.40798777337754,0.4143380459002779,0.05369505220382613,0.29565861976578145,0.5147932569169742,0.38161600154698794,0.43830646221665226,"[""initial->layer_0_post_upload"", ""layer_0_post_upload->layer_0_post_mixer""]","[0.16835890018966687, 0.24978868016711142]",complete,8,,
results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.json,3,pendigits|checkpoints|pendigits|dyn|block-hamiltonian|1|0|checkpoints|step_00000200|200|pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,latent_state_diagnostics_v1,pendigits,checkpoints,validation,complete,False,pendigits,dyn,block-hamiltonian,1,0,checkpoints,step_00000200,200,pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.h5,ok,latent_state_diagnostics_hdf5_v1,8,32,0,8,"{""datasets"": null, ""encoders"": null, ""representations"": null, ""reupload_depths"": null, ""seeds"": null}",32,0.65625,projector probabilities,10,"[8, 2]",none,0,6744,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0/checkpoints.h5::step_00000200,"[""initial"", ""layer_0_post_upload"", ""layer_0_post_mixer""]",0.560531998005437,2.1813071864457405,5.907865961226771,36,0.8477274473855595,0.8827604357076955,0.12188791689040235,0.467377089820895,0.9914281963693633,0.7853556129674417,0.9320494078890008,460,0.6308679037366552,0.6390161303765179,0.14171550506538863,0.15762479925998713,0.93756803670093,0.5372477050695103,0.7302597769705929,0.21685954364890425,0.65625,32,0.4791672040972933,0.49028852933576056,0.09790134821267785,0.31712363061121773,0.7166724389524414,0.40480493614681756,0.5405651447682178,21,0.4743914055057544,0.5038400428505945,0.09892330029116668,0.31712363061121773,0.6926341376017127,0.3830924515812113,0.5387184467819657,11,0.4882846377720492,0.47575915740705604,0.0952575381928675,0.3670451075437975,0.7166724389524414,0.42092207042474455,0.5421458962540339,"[""initial->layer_0_post_upload"", ""layer_0_post_upload->layer_0_post_mixer""]","[0.15804971745778462, 0.3211174866395087]",complete,8,,
results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.json,4,pendigits|checkpoints|pendigits|dyn|block-hamiltonian|1|0|checkpoints|step_00000500|500|pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,latent_state_diagnostics_v1,pendigits,checkpoints,validation,complete,False,pendigits,dyn,block-hamiltonian,1,0,checkpoints,step_00000500,500,pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.h5,ok,latent_state_diagnostics_hdf5_v1,8,32,0,8,"{""datasets"": null, ""encoders"": null, ""representations"": null, ""reupload_depths"": null, ""seeds"": null}",32,0.65625,projector probabilities,10,"[8, 2]",none,0,6744,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0/checkpoints.h5::step_00000500,"[""initial"", ""layer_0_post_upload"", ""layer_0_post_mixer""]",0.5521600590599869,1.9436084389899733,5.494228710306928,36,0.873568630523424,0.9059812767472706,0.10321226652780162,0.5585346526776772,0.9932562992554198,0.8215186331196709,0.9449884123080756,460,0.6789037730749513,0.6870676641356592,0.12813795851534482,0.2302581450628774,0.951425501228049,0.5979411777938035,0.7680251203482019,0.19466485744847273,0.65625,32,0.47615458441372516,0.48273810697200176,0.11511380576318782,0.284181140399935,0.717172596784088,0.364806261603126,0.5558793409915609,21,0.47108520552423794,0.47124368303751707,0.12446454062078934,0.284181140399935,0.6709215687207141,0.35022045810844105,0.5641520880292157,11,0.48583248956638264,0.4894333394392221,0.09397689009145738,0.3520493255004596,0.717172596784088,0.4279040615060088,0.5168583095679598,"[""initial->layer_0_post_upload"", ""layer_0_post_upload->layer_0_post_mixer""]","[0.1387604829994179, 0.3373941014143073]",complete,8,,
results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.json,5,pendigits|checkpoints|pendigits|dyn|block-hamiltonian|1|0|checkpoints|step_00001000|1000|pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,latent_state_diagnostics_v1,pendigits,checkpoints,validation,complete,False,pendigits,dyn,block-hamiltonian,1,0,checkpoints,step_00001000,1000,pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.h5,ok,latent_state_diagnostics_hdf5_v1,8,32,0,8,"{""datasets"": null, ""encoders"": null, ""representations"": null, ""reupload_depths"": null, ""seeds"": null}",32,0.71875,projector probabilities,10,"[8, 2]",none,0,6744,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0/checkpoints.h5::step_00001000,"[""initial"", ""layer_0_post_upload"", ""layer_0_post_mixer""]",0.5508356399260947,1.9071713348302957,5.4361258877275285,36,0.877567867856389,0.9097241211604872,0.10024289140738561,0.5726419605907501,0.9935195082717955,0.8271539201344933,0.9469456934183498,460,0.6870057015207368,0.6945059785472705,0.12567040388049713,0.24413406481871355,0.9533975261330817,0.6081306971397062,0.7751539161032638,0.19056216633565215,0.71875,32,0.4545635271917772,0.479918039761994,0.10889333046618141,0.2764970719471356,0.6737168908866606,0.3558604681924856,0.5211569526719426,23,0.45595690362060803,0.48297962295125824,0.11313309492237383,0.2764970719471356,0.6338631627299285,0.34516291620834166,0.5386639635043088,9,0.4510026763180981,0.46539731819729224,0.09713120063120544,0.3337708883533135,0.6737168908866606,0.37777488343317134,0.4813868011688714,"[""initial->layer_0_post_upload"", ""layer_0_post_upload->layer_0_post_mixer""]","[0.13550103196385294, 0.31906249522792424]",complete,8,,
results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.json,6,pendigits|checkpoints|pendigits|dyn|block-hamiltonian|1|0|checkpoints|step_00001500|1500|pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,latent_state_diagnostics_v1,pendigits,checkpoints,validation,complete,False,pendigits,dyn,block-hamiltonian,1,0,checkpoints,step_00001500,1500,pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.h5,ok,latent_state_diagnostics_hdf5_v1,8,32,0,8,"{""datasets"": null, ""encoders"": null, ""representations"": null, ""reupload_depths"": null, ""seeds"": null}",32,0.625,projector probabilities,10,"[8, 2]",none,0,6744,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0/checkpoints.h5::step_00001500,"[""initial"", ""layer_0_post_upload"", ""layer_0_post_mixer""]",0.5480001421618055,1.8300830563093071,5.316560316233978,36,0.8861221165900477,0.9175110321836331,0.09382165056523757,0.6028039061609802,0.9940672907157292,0.8392285266182016,0.9510730507413371,460,0.7048808714536509,0.7099647209951905,0.12005385354167515,0.2761691945785686,0.9574827159236404,0.6303112854304876,0.7899655528795072,0.18124124513639683,0.625,32,0.44469673099700835,0.4666979276845791,0.09702745360112706,0.29871188073044114,0.6584440984900489,0.3633750786451644,0.5118104397136569,20,0.4507938673595859,0.48110920775472377,0.09852276724769514,0.29871188073044114,0.6116930498563959,0.36602299363831503,0.5169341226667312,12,0.43453483705937923,0.44507139635082454,0.09360425215326343,0.3195270715351537,0.6584440984900489,0.356606263887985,0.4770855170316687,"[""initial->layer_0_post_upload"", ""layer_0_post_upload->layer_0_post_mixer""]","[0.1282671326242949, 0.3164295983727135]",complete,8,,
results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.json,7,pendigits|checkpoints|pendigits|dyn|block-hamiltonian|1|0|checkpoints|step_00002000|2000|pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,latent_state_diagnostics_v1,pendigits,checkpoints,validation,complete,False,pendigits,dyn,block-hamiltonian,1,0,checkpoints,step_00002000,2000,pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__checkpoints.h5,ok,latent_state_diagnostics_hdf5_v1,8,32,0,8,"{""datasets"": null, ""encoders"": null, ""representations"": null, ""reupload_depths"": null, ""seeds"": null}",32,0.6875,projector probabilities,10,"[8, 2]",none,0,6744,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0/checkpoints.h5::step_00002000,"[""initial"", ""layer_0_post_upload"", ""layer_0_post_mixer""]",0.5498519496376575,1.8802860861546495,5.393936693958443,36,0.8805353655853653,0.9124585572230532,0.09802607825616753,0.5831075606553905,0.9937118239406233,0.8313397262978293,0.9483864739694859,460,0.6931238014200268,0.6995288003949374,0.12377444288598816,0.25488399096977193,0.954834676722238,0.6160422735052045,0.7800501272375711,0.18741156416533844,0.6875,32,0.46170131074003984,0.47373123653483346,0.11210115460995602,0.28096579079519113,0.6923850079406406,0.3696105319361085,0.5237628176587192,22,0.4705461375893538,0.4886111586576596,0.11204838528279315,0.28563583582849966,0.657131101372268,0.3721966408841253,0.5569106308461984,10,0.44224269167154895,0.4256073879521156,0.10973579624413303,0.28096579079519113,0.6923850079406406,0.3748329714201296,0.5019850859155995,"[""initial->layer_0_post_upload"", ""layer_0_post_upload->layer_0_post_mixer""]","[0.13303222317634206, 0.32866908756369784]",complete,8,,
results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__final.json,0,pendigits|final|pendigits|dyn|block-hamiltonian|1|0|final|final|2000|pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,latent_state_diagnostics_v1,pendigits,final,validation,complete,False,pendigits,dyn,block-hamiltonian,1,0,final,final,2000,pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0,results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0__final.h5,ok,latent_state_diagnostics_hdf5_v1,1,32,0,8,"{""datasets"": null, ""encoders"": null, ""representations"": null, ""reupload_depths"": null, ""seeds"": null}",32,0.6875,projector probabilities,10,"[8, 2]",none,0,6744,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L1__lr0.01__bs32__seed0_seed0/checkpoints.h5::final,"[""initial"", ""layer_0_post_upload"", ""layer_0_post_mixer""]",0.5498519496376575,1.8802860861546495,5.393936693958451,36,0.8805353655853653,0.9124585572230532,0.09802607825616753,0.5831075606553905,0.9937118239406233,0.8313397262978293,0.9483864739694859,460,0.6931238014200268,0.6995288003949374,0.12377444288598817,0.25488399096977193,0.954834676722238,0.6160422735052045,0.7800501272375711,0.18741156416533844,0.6875,32,0.46170131074003984,0.47373123653483346,0.11210115460995602,0.28096579079519113,0.6923850079406406,0.3696105319361085,0.5237628176587192,22,0.4705461375893538,0.4886111586576596,0.11204838528279315,0.28563583582849966,0.657131101372268,0.3721966408841253,0.5569106308461984,10,0.44224269167154895,0.4256073879521156,0.10973579624413303,0.28096579079519113,0.6923850079406406,0.3748329714201296,0.5019850859155995,"[""initial->layer_0_post_upload"", ""layer_0_post_upload->layer_0_post_mixer""]","[0.13303222317634206, 0.32866908756369784]",complete,8,,
results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L32__lr0.01__bs32__seed0__checkpoints.json,0,pendigits|checkpoints|pendigits|dyn|block-hamiltonian|32|0|checkpoints|step_00000000|0|pendigits__dyn__block-hamiltonian__L32__lr0.01__bs32__seed0,latent_state_diagnostics_v1,pendigits,checkpoints,validation,complete,False,pendigits,dyn,block-hamiltonian,32,0,checkpoints,step_00000000,0,pendigits__dyn__block-hamiltonian__L32__lr0.01__bs32__seed0,results/tables/latent_state_diagnostics/batched/items/pendigits__pendigits__dyn__block-hamiltonian__L32__lr0.01__bs32__seed0__checkpoints.h5,ok,latent_state_diagnostics_hdf5_v1,8,32,0,8,"{""datasets"": null, ""encoders"": null, ""representations"": null, ""reupload_depths"": null, ""seeds"": null}",32,0.09375,projector probabilities,10,"[8, 2]",none,0,6744,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L32__lr0.01__bs32__seed0_seed0,results/runs/pendigits/pendigits__dyn__block-hamiltonian__L32__lr0.01__bs32__seed0_seed0/checkpoints.h5::step_00000000,"[""initial"", ""layer_0_post_upload"", ""layer_0_post_mixer"", ""layer_1_post_upload"", ""layer_1_post_mixer"", ""layer_2_post_upload"", ""layer_2_post_mixer"", ""layer_3_post_upload"", ""layer_3_post_mixer"", ""layer_4_post_upload"", ""layer_4_post_mixer"", ""layer_5_post_upload"", ""layer_5_post_mixer"", ""layer_6_post_upload"", ""layer_6_post_mixer"", ""layer_7_post_upload"", ""layer_7_post_mixer"", ""layer_8_post_upload"", ""layer_8_post_mixer"", ""layer_9_post_upload"", ""layer_9_post_mixer"", ""layer_10_post_upload"", ""layer_10_post_mixer"", ""layer_11_post_upload"", ""layer_11_post_mixer"", ""layer_12_post_upload"", ""layer_12_post_mixer"", ""layer_13_post_upload"", ""layer_13_post_mixer"", ""layer_14_post_upload"", ""layer_14_post_mixer"", ""layer_15_post_upload"", ""layer_15_post_mixer"", ""layer_16_post_upload"", ""layer_16_post_mixer"", ""layer_17_post_upload"", ""layer_17_post_mixer"", ""layer_18_post_upload"", ""layer_18_post_mixer"", ""layer_19_post_upload"", ""layer_19_post_mixer"", ""layer_20_post_upload"", ""layer_20_post_mixer"", ""layer_21_post_upload"", ""layer_21_post_mixer"", ""layer_22_post_upload"", ""layer_22_post_mixer"", ""layer_23_post_upload"", ""layer_23_post_mixer"", ""layer_24_post_upload"", ""layer_24_post_mixer"", ""layer_25_post_upload"", ""layer_25_post_mixer"", ""layer_26_post_upload"", ""layer_26_post_mixer"", ""layer_27_post_upload"", ""layer_27_post_mixer"", ""layer_28_post_upload"", ""layer_28_post_mixer"", ""layer_29_post_upload"", ""layer_29_post_mixer"", ""layer_30_post_upload"", ""layer_30_post_mixer"", ""layer_31_post_upload"", ""layer_31_post_mixer""]",0.5576337865486645,2.2398087119256247,6.019416778332378,36,0.8374338987195793,0.8635944512845166,0.12506798294651253,0.41149234029540904,0.9871664945528136,0.7657013927809256,0.9243461879825707,460,0.6193295397474652,0.6289469194843427,0.14992332762925592,0.2029417677584397,0.9218778009321952,0.5193360995460974,0.7305865487856283,0.2181043589721141,0.09375,32,1.078852521573142,1.0928053693564421,0.07999102988948782,0.9387739113517697,1.2721733157667678,1.0161365177081663,1.1250319904822672,3,0.9739857018260747,0.9906074222425177,0.024911459764299832,0.9387739113517697,0.9925757718839371,0.9646906667971438,0.9915915970632274,29,1.0897008132711143,1.097884742696644,0.07576922902050005,0.9398361466003127,1.2721733157667678,1.0541339599271586,1.1270124904663008,"[""initial->layer_0_post_upload"", ""layer_0_post_upload->layer_0_post_mixer"", ""layer_0_post_mixer->layer_1_post_upload"", ""layer_1_post_upload->layer_1_post_mixer"", ""layer_1_post_mixer->layer_2_post_upload"", ""layer_2_post_upload->layer_2_post_mixer"", ""layer_2_post_mixer->layer_3_post_upload"", ""layer_3_post_upload->layer_3_post_mixer"", ""layer_3_post_mixer->layer_4_post_upload"", ""layer_4_post_upload->layer_4_post_mixer"", ""layer_4_post_mixer->layer_5_post_upload"", ""layer_5_post_upload->layer_5_post_mixer"", ""layer_5_post_mixer->layer_6_post_upload"", ""layer_6_post_upload->layer_6_post_mixer"", ""layer_6_post_mixer->layer_7_post_upload"", ""layer_7_post_upload->layer_7_post_mixer"", ""layer_7_post_mixer->layer_8_post_upload"", ""layer_8_post_upload->layer_8_post_mixer"", ""layer_8_post_mixer->layer_9_post_upload"", ""layer_9_post_upload->layer_9_post_mixer"", ""layer_9_post_mixer->layer_10_post_upload"", ""layer_10_post_upload->layer_10_post_mixer"", ""layer_10_post_mixer->layer_11_post_upload"", ""layer_11_post_upload->layer_11_post_mixer"", ""layer_11_post_mixer->layer_12_post_upload"", ""layer_12_post_upload->layer_12_post_mixer"", ""layer_12_post_mixer->layer_13_post_upload"", ""layer_13_post_upload->layer_13_post_mixer"", ""layer_13_post_mixer->layer_14_post_upload"", ""layer_14_post_upload->layer_14_post_mixer"", ""layer_14_post_mixer->layer_15_post_upload"", ""layer_15_post_upload->layer_15_post_mixer"", ""layer_15_post_mixer->layer_16_post_upload"", ""layer_16_post_upload->layer_16_post_mixer"", ""layer_16_post_mixer->layer_17_post_upload"", ""layer_17_post_upload->layer_17_post_mixer"", ""layer_17_post_mixer->layer_18_post_upload"", ""layer_18_post_upload->layer_18_post_mixer"", ""layer_18_post_mixer->layer_19_post_upload"", ""layer_19_post_upload->layer_19_post_mixer"", ""layer_19_post_mixer->layer_20_post_upload"", ""layer_20_post_upload->layer_20_post_mixer"", ""layer_20_post_mixer->layer_21_post_upload"", ""layer_21_post_upload->layer_21_post_mixer"", ""layer_21_post_mixer->layer_22_post_upload"", ""layer_22_post_upload->layer_22_post_mixer"", ""layer_22_post_mixer->layer_23_post_upload"", ""layer_23_post_upload->layer_23_post_mixer"", ""layer_23_post_mixer->layer_24_post_upload"", ""layer_24_post_upload->layer_24_post_mixer"", ""layer_24_post_mixer->layer_25_post_upload"", ""layer_25_post_upload->layer_25_post_mixer"", ""layer_25_post_mixer->layer_26_post_upload"", ""layer_26_post_upload->layer_26_post_mixer"", ""layer_26_post_mixer->layer_27_post_upload"", ""layer_27_post_upload->layer_27_post_mixer"", ""layer_27_post_mixer->layer_28_post_upload"", ""layer_28_post_upload->layer_28_post_mixer"", ""layer_28_post_mixer->layer_29_post_upload"", ""layer_29_post_upload->layer_29_post_mixer"", ""layer_29_post_mixer->layer_30_post_upload"", ""layer_30_post_upload->layer_30_post_mixer"", ""layer_30_post_mixer->layer_31_post_upload"", ""layer_31_post_upload->layer_31_post_mixer""]","[0.00042914921373997264, 0.027689842876944606, 0.0017270181484142844, 0.019236465041379013, 0.002482012666276785, 0.012649783007998083, 0.003238098251397532, 0.020495696450253224, 0.004642248873116194, 0.035780883882586954, 0.005035204488367143, 0.025126058695078494, 0.005579420108926422, 0.0233519344327449, 0.006075678206020098, 0.02808819365484963, 0.00642028678058209, 0.032844134431846674, 0.006779546490889444, 0.03268941549041336, 0.007059624819532651, 0.026852711003794744, 0.007231320988355194, 0.03012593357259178, 0.00748578298078475, 0.01729966037115904, 0.0077393745896271755, 0.017725821654689274, 0.008055865541769503, 0.01885273389201048, 0.007869405804974302, 0.03400957760340791, 0.007577120277847037, 0.03164992155152364, 0.007503000956617659, 0.01540172064561345, 0.007341132894153146, 0.040268385838568455, 0.007455354682950463, 0.026709636648076386, 0.007560336560400008, 0.03790371804170454, 0.0077965130685756605, 0.03720686796589825, 0.0077097338300572815, 0.031516633863298615, 0.007726366390284991, 0.022274478067990412, 0.007706310140935159, 0.026691178188620587, 0.0080579743921507, 0.026653375330454986, 0.00830100092913366, 0.03208805019937638, 0.008720920437688994, 0.0345029739612184, 0.009044459265933736, 0.02836478754541384, 0.009592962691382982, 0.016911288959883752, 0.009859996467265174, 0.024559240763709876, 0.01043678196586298, 0.023091415036029097]",complete,8,,
